BN	TN	SubNum	group	hand	isTrain	seq	ChunkSize	digitChangePos	digitChangeValue	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	
1	1	5	0	2	1	35421252143	2333	5	3	3	5	4	2	1	2	5	2	1	4	3	1175.000	5480.000	6655.000	1	0	0	2	4	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1180.000	1450.000	3060.000	3350.000	3505.000	4630.000	4910.000	5120.000	5975.000	6270.000	6505.000	3500.000	2940.000	-842150451	-1	9875	-1	-1	1	0	
1	2	5	0	2	1	13524232514	2333	5	5	1	3	5	2	4	2	3	2	5	1	4	1530.000	4310.000	5840.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	1535.000	1685.000	2595.000	2790.000	2965.000	4310.000	4475.000	4570.000	5280.000	5490.000	5660.000	3500.000	2940.000	-842150451	-1	9060	-1	-1	1	0	
1	3	5	0	2	1	51423252413	3332	7	1	5	1	4	2	3	2	5	2	4	1	3	975.000	4410.000	5385.000	1	0	0	5	1	2	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	980.000	1245.000	1505.000	2595.000	2800.000	2915.000	3760.000	3900.000	4070.000	4700.000	5220.000	3500.000	2940.000	-842150451	-1	8605	-1	-1	1	0	
1	4	5	0	2	1	35421252143	2333	9	2	3	5	4	2	1	2	5	2	1	4	3	1270.000	7180.000	8450.000	1	0	0	4	5	4	2	1	2	5	2	1	4	2	2	2	2	2	2	2	2	2	2	2	2	1275.000	3075.000	4185.000	4295.000	4505.000	5495.000	5675.000	6410.000	7375.000	8125.000	8280.000	3500.000	2940.000	-842150451	-1	11670	-1	-1	1	0	
1	5	5	0	2	1	35421252143	2333	7	2	3	5	4	2	1	2	5	2	1	4	3	1205.000	5155.000	6360.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1210.000	1470.000	2395.000	2495.000	2780.000	4320.000	4615.000	4810.000	5580.000	5870.000	6235.000	3500.000	2940.000	-842150451	-1	9580	-1	-1	1	0	
1	6	5	0	2	1	35421252143	2333	7	3	3	5	4	2	1	2	5	2	1	4	3	990.000	4215.000	5205.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	995.000	1240.000	2105.000	2350.000	2525.000	3380.000	3610.000	3785.000	4570.000	4805.000	5015.000	3500.000	2940.000	-842150451	-1	8425	-1	-1	1	0	
1	7	5	0	2	1	51423252413	3332	9	1	5	1	4	2	3	2	5	2	4	1	3	880.000	5310.000	6190.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	885.000	1785.000	2095.000	2865.000	3165.000	3595.000	4545.000	4960.000	5260.000	5850.000	6035.000	3500.000	2940.000	-842150451	-1	9410	-1	-1	1	0	
1	8	5	0	2	1	13524232514	2333	9	3	1	3	5	2	4	2	3	2	5	1	4	875.000	4190.000	5065.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	880.000	1135.000	1800.000	2020.000	2315.000	3225.000	3455.000	3580.000	4255.000	4545.000	4880.000	3500.000	2940.000	-842150451	-1	8285	-1	-1	1	0	
1	9	5	0	2	1	51423252413	3332	7	3	5	1	4	2	3	2	5	2	4	1	3	790.000	3785.000	4575.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	795.000	1040.000	1515.000	2215.000	2450.000	2570.000	3230.000	3450.000	3695.000	4155.000	4425.000	3500.000	2940.000	-842150451	-1	7795	-1	-1	1	0	
1	10	5	0	2	1	51423252413	3332	9	2	5	1	4	2	3	2	5	2	4	1	3	820.000	3770.000	4590.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	825.000	1105.000	1350.000	1955.000	2200.000	2365.000	3125.000	3395.000	3615.000	4225.000	4505.000	3500.000	2940.000	-842150451	-1	7810	-1	-1	1	0	
1	11	5	0	2	1	35421252143	2333	7	4	3	5	4	2	1	2	5	2	1	4	3	1240.000	3815.000	5055.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1245.000	1450.000	2195.000	2485.000	2690.000	3275.000	3595.000	3845.000	4450.000	4690.000	4920.000	3500.000	2940.000	-842150451	-1	8275	-1	-1	1	0	
1	12	5	0	2	1	51423252413	3332	7	2	5	1	4	2	3	2	5	2	4	1	3	690.000	3530.000	4220.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	695.000	1015.000	1225.000	1800.000	2055.000	2295.000	2875.000	3110.000	3360.000	3820.000	4055.000	3500.000	2940.000	-842150451	-1	7440	-1	-1	1	0	
1	13	5	0	2	1	13524232514	2333	5	5	1	3	5	2	4	2	3	2	5	1	4	660.000	3685.000	4345.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	665.000	955.000	1500.000	1730.000	1965.000	2815.000	3045.000	3245.000	3785.000	4015.000	4185.000	3500.000	2940.000	-842150451	-1	7565	-1	-1	1	0	
1	14	5	0	2	1	14325242135	3332	7	2	1	4	3	2	5	2	4	2	1	3	5	630.000	4595.000	5225.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	635.000	850.000	1130.000	1715.000	2215.000	2640.000	3535.000	3830.000	4065.000	4830.000	5000.000	3500.000	2940.000	-842150451	-1	8445	-1	-1	1	0	
1	15	5	0	2	1	14325242135	3332	5	2	1	4	3	2	5	2	4	2	1	3	5	650.000	4885.000	5535.000	1	0	0	5	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	655.000	1930.000	2235.000	2925.000	3130.000	3305.000	3940.000	4305.000	4460.000	5230.000	5330.000	3500.000	2940.000	-842150451	-1	8755	-1	-1	1	0	
1	16	5	0	2	1	14325242135	3332	7	3	1	4	3	2	5	2	4	2	1	3	5	690.000	3840.000	4530.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	695.000	975.000	1165.000	1715.000	2050.000	2260.000	2900.000	3385.000	3560.000	4220.000	4370.000	3500.000	2940.000	-842150451	-1	7750	-1	-1	1	0	
1	17	5	0	2	1	14325242135	3332	9	2	1	4	3	2	5	2	4	2	1	3	5	695.000	3555.000	4250.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	700.000	945.000	1165.000	1760.000	2050.000	2170.000	2800.000	3070.000	3235.000	3820.000	4010.000	3500.000	2940.000	-842150451	-1	7470	-1	-1	1	0	
1	18	5	0	2	1	13524232514	2333	7	1	1	3	5	2	4	2	3	2	5	1	4	605.000	4105.000	4710.000	1	0	0	1	3	5	2	4	2	4	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	610.000	890.000	1465.000	1640.000	1935.000	2495.000	2775.000	2960.000	3695.000	4230.000	4520.000	3500.000	2940.000	-842150451	-1	7930	-1	-1	1	0	
1	19	5	0	2	1	14325242135	3332	7	2	1	4	3	2	5	2	4	2	1	3	5	855.000	4180.000	5035.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	860.000	1065.000	1760.000	2640.000	2860.000	3040.000	3790.000	3875.000	4125.000	4745.000	4835.000	3500.000	2940.000	-842150451	-1	8255	-1	-1	1	0	
1	20	5	0	2	1	13524232514	2333	5	5	1	3	5	2	4	2	3	2	5	1	4	665.000	3460.000	4125.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	670.000	1010.000	1575.000	1705.000	1980.000	2550.000	2710.000	2835.000	3390.000	3715.000	3945.000	3500.000	2940.000	-842150451	-1	7345	-1	-1	1	0	
2	1	5	0	2	1	35421252143	2333	9	5	3	5	4	2	1	2	5	2	1	4	3	825.000	5170.000	5995.000	1	0	0	1	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	830.000	1940.000	2675.000	2780.000	2990.000	3745.000	3950.000	4680.000	5300.000	5545.000	5830.000	3500.000	2940.000	-842150451	-1	9215	-1	-1	1	0	
2	2	5	0	2	1	35421252143	2333	7	4	3	5	4	2	1	2	5	2	1	4	3	890.000	3955.000	4845.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	895.000	1135.000	1795.000	1940.000	2205.000	2810.000	3300.000	3560.000	4180.000	4385.000	4700.000	3500.000	2940.000	-842150451	-1	8065	-1	-1	1	0	
2	3	5	0	2	1	51423252413	3332	7	1	5	1	4	2	3	2	5	2	4	1	3	1020.000	3450.000	4470.000	1	0	0	5	1	4	2	3	2	5	2	4	1	4	2	2	2	2	2	2	2	2	2	2	2	1025.000	1195.000	1450.000	2040.000	2280.000	2530.000	3090.000	3330.000	3585.000	4035.000	4315.000	3500.000	2940.000	-842150451	-1	7690	-1	-1	1	0	
2	4	5	0	2	1	35421252143	2333	9	4	3	5	4	2	1	2	5	2	1	4	3	790.000	3750.000	4540.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	795.000	1000.000	1630.000	1845.000	2105.000	2800.000	3040.000	3275.000	3885.000	4155.000	4390.000	3500.000	2940.000	-842150451	-1	7760	-1	-1	1	0	
