BN,TN,SubNum,group,hand,isTrain,seq,ChunkSize,digitChangePos,digitChangeValue,press1,press2,press3,press4,press5,press6,press7,press8,press9,press10,press11,RT,ET,norm_MT,isError,timingError,points,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,handPressed1,handPressed2,handPressed3,handPressed4,handPressed5,handPressed6,handPressed7,handPressed8,handPressed9,handPressed10,handPressed11,pressTime1,pressTime2,pressTime3,pressTime4,pressTime5,pressTime6,pressTime7,pressTime8,pressTime9,pressTime10,pressTime11,timeThreshold,timeThresholdSuper,startTime,startTimeReal,trialDur,startTR,startTRtime,useMetronome,isCross,timeThreshold.1,timeThresholdSuper.1,IPI1,IPI2,IPI3,IPI4,IPI5,IPI6,IPI7,IPI8,IPI9,IPI10
1,1,1,0,2,1,13524232514,2333,9,2,1,3,5,2,4,2,3,2,5,1,4,905.0,4385.0,5290.0,0,0,1,1,3,5,2,4,2,3,2,5,1,4,2,2,2,2,2,2,2,2,2,2,2,910.0,995.0,1875.0,2180.0,2435.0,3165.0,3310.0,3425.0,4445.0,4910.0,5140.0,-842150451.0,-1.0,8510,-1,-1,1,0,3500.0,2940.0,,,85.0,880.0,305.0,255.0,730.0,145.0,115.0,1020.0,465.0,230.0
1,2,1,0,2,1,14325242135,3332,9,4,1,4,3,2,5,2,4,2,1,3,5,790.0,5290.0,6080.0,1,0,0,1,4,3,2,5,2,4,3,1,3,5,2,2,2,2,2,2,2,2,2,2,2,795.0,1290.0,1530.0,2300.0,2670.0,2805.0,4420.0,4535.0,4710.0,5725.0,5925.0,-842150451.0,-1.0,9300,-1,-1,1,0,3500.0,2940.0,,,495.0,240.0,770.0,370.0,135.0,1615.0,115.0,175.0,1015.0,200.0
1,3,1,0,2,1,51423252413,3332,5,2,5,1,4,2,3,2,5,2,4,1,3,790.0,3715.0,4505.0,0,0,1,5,1,4,2,3,2,5,2,4,1,3,2,2,2,2,2,2,2,2,2,2,2,795.0,1140.0,1425.0,2025.0,2220.0,2340.0,3055.0,3320.0,3575.0,4270.0,4375.0,-842150451.0,-1.0,7725,-1,-1,1,0,3500.0,2940.0,,,345.0,285.0,600.0,195.0,120.0,715.0,265.0,255.0,695.0,105.0
1,4,1,0,2,1,13524232514,2333,5,5,1,3,5,2,4,2,3,2,5,1,4,460.0,3545.0,4005.0,0,0,1,1,3,5,2,4,2,3,2,5,1,4,2,2,2,2,2,2,2,2,2,2,2,465.0,500.0,1325.0,1615.0,1820.0,2590.0,2650.0,2755.0,3525.0,3675.0,3855.0,-842150451.0,-1.0,7225,-1,-1,1,0,3500.0,2940.0,,,35.0,825.0,290.0,205.0,770.0,60.0,105.0,770.0,150.0,180.0
1,5,1,0,2,1,35421252143,2333,9,4,3,5,4,2,1,2,5,2,1,4,3,1020.0,5110.0,6130.0,0,0,1,3,5,4,2,1,2,5,2,1,4,3,2,2,2,2,2,2,2,2,2,2,2,1025.0,1250.0,2265.0,2380.0,2485.0,3270.0,3455.0,4440.0,5580.0,5765.0,6015.0,-842150451.0,-1.0,9350,-1,-1,1,0,3500.0,2940.0,,,225.0,1015.0,115.0,105.0,785.0,185.0,985.0,1140.0,185.0,250.0
1,6,1,0,2,1,14325242135,3332,7,2,1,4,3,2,5,2,4,2,1,3,5,730.0,4525.0,5255.0,1,0,0,1,3,3,2,5,2,4,3,1,3,5,2,2,2,2,2,2,2,2,2,2,2,735.0,910.0,1655.0,2410.0,2545.0,2700.0,3615.0,3750.0,3955.0,4955.0,5115.0,-842150451.0,-1.0,8475,-1,-1,1,0,3500.0,2940.0,,,175.0,745.0,755.0,135.0,155.0,915.0,135.0,205.0,1000.0,160.0
1,7,1,0,2,1,35421252143,2333,9,4,3,5,4,2,1,2,5,2,1,4,3,730.0,4260.0,4990.0,0,0,1,3,5,4,2,1,2,5,2,1,4,3,2,2,2,2,2,2,2,2,2,2,2,735.0,855.0,2025.0,2165.0,2275.0,3195.0,3525.0,3675.0,4565.0,4765.0,4870.0,-842150451.0,-1.0,8210,-1,-1,1,0,3500.0,2940.0,,,120.0,1170.0,140.0,110.0,920.0,330.0,150.0,890.0,200.0,105.0
1,8,1,0,2,1,51423252413,3332,9,5,5,1,4,2,3,2,5,2,4,1,3,675.0,3670.0,4345.0,0,0,1,5,1,4,2,3,2,5,2,4,1,3,2,2,2,2,2,2,2,2,2,2,2,680.0,1055.0,1305.0,2025.0,2160.0,2270.0,3025.0,3275.0,3490.0,4195.0,4225.0,-842150451.0,-1.0,7565,-1,-1,1,0,3500.0,2940.0,,,375.0,250.0,720.0,135.0,110.0,755.0,250.0,215.0,705.0,30.0
1,9,1,0,2,1,35421252143,2333,9,2,3,5,4,2,1,2,5,2,1,4,3,745.0,4655.0,5400.0,0,0,1,3,5,4,2,1,2,5,2,1,4,3,2,2,2,2,2,2,2,2,2,2,2,750.0,855.0,1920.0,2015.0,2145.0,2970.0,3110.0,3835.0,4650.0,5215.0,5270.0,-842150451.0,-1.0,8620,-1,-1,1,0,3500.0,2940.0,,,105.0,1065.0,95.0,130.0,825.0,140.0,725.0,815.0,565.0,55.0
1,10,1,0,2,1,13524232514,2333,5,1,1,3,5,2,4,2,3,2,5,1,4,635.0,4315.0,4950.0,0,0,1,1,3,5,2,4,2,3,2,5,1,4,2,2,2,2,2,2,2,2,2,2,2,640.0,735.0,1500.0,1655.0,1905.0,2570.0,2655.0,2755.0,4590.0,4675.0,4800.0,-842150451.0,-1.0,8170,-1,-1,1,0,3500.0,2940.0,,,95.0,765.0,155.0,250.0,665.0,85.0,100.0,1835.0,85.0,125.0
1,11,1,0,2,1,13524232514,2333,7,2,1,3,5,2,4,2,3,2,5,1,4,490.0,2820.0,3310.0,0,0,2,1,3,5,2,4,2,3,2,5,1,4,2,2,2,2,2,2,2,2,2,2,2,495.0,585.0,1010.0,1165.0,1355.0,2105.0,2190.0,2310.0,2890.0,3005.0,3145.0,-842150451.0,-1.0,6530,-1,-1,1,0,3500.0,2940.0,,,90.0,425.0,155.0,190.0,750.0,85.0,120.0,580.0,115.0,140.0
