BN,TN,SubNum,group,hand,isTrain,seq,ChunkSize,digitChangePos,digitChangeValue,isTrialError,timingError,IPI_Number,IPI_Value,N,Press_Number,Press_Value,Response_Number,Response_Value,isPressError
1,1,1,0,2,1,13524232514,2333,9,2,0,0,IPI1,85.0,2,press2,3,response2,3,False
1,2,1,0,2,1,14325242135,3332,9,4,1,0,IPI1,495.0,2,press2,4,response2,4,False
1,3,1,0,2,1,51423252413,3332,5,2,0,0,IPI1,345.0,2,press2,1,response2,1,False
1,4,1,0,2,1,13524232514,2333,5,5,0,0,IPI1,35.0,2,press2,3,response2,3,False
1,5,1,0,2,1,35421252143,2333,9,4,0,0,IPI1,225.0,2,press2,5,response2,5,False
1,6,1,0,2,1,14325242135,3332,7,2,1,0,IPI1,175.0,2,press2,4,response2,3,True
1,7,1,0,2,1,35421252143,2333,9,4,0,0,IPI1,120.0,2,press2,5,response2,5,False
1,8,1,0,2,1,51423252413,3332,9,5,0,0,IPI1,375.0,2,press2,1,response2,1,False
1,9,1,0,2,1,35421252143,2333,9,2,0,0,IPI1,105.0,2,press2,5,response2,5,False
1,10,1,0,2,1,13524232514,2333,5,1,0,0,IPI1,95.0,2,press2,3,response2,3,False
1,11,1,0,2,1,13524232514,2333,7,2,0,0,IPI1,90.0,2,press2,3,response2,3,False
1,12,1,0,2,1,51423252413,3332,7,1,1,0,IPI1,110.0,2,press2,1,response2,2,True
1,13,1,0,2,1,51423252413,3332,5,4,0,0,IPI1,625.0,2,press2,1,response2,1,False
1,14,1,0,2,1,14325242135,3332,7,2,0,0,IPI1,380.0,2,press2,4,response2,4,False
1,15,1,0,2,1,13524232514,2333,7,4,0,0,IPI1,90.0,2,press2,3,response2,3,False
1,16,1,0,2,1,14325242135,3332,7,3,1,0,IPI1,515.0,2,press2,4,response2,4,False
1,17,1,0,2,1,35421252143,2333,5,4,0,0,IPI1,165.0,2,press2,5,response2,5,False
1,18,1,0,2,1,35421252143,2333,5,3,0,0,IPI1,110.0,2,press2,5,response2,5,False
1,19,1,0,2,1,51423252413,3332,5,2,0,0,IPI1,230.0,2,press2,1,response2,1,False
1,20,1,0,2,1,14325242135,3332,9,2,0,0,IPI1,95.0,2,press2,4,response2,4,False
2,1,1,0,2,1,35421252143,2333,7,3,0,0,IPI1,95.0,2,press2,5,response2,5,False
2,2,1,0,2,1,51423252413,3332,5,4,1,0,IPI1,250.0,2,press2,1,response2,1,False
2,3,1,0,2,1,35421252143,2333,9,2,0,0,IPI1,145.0,2,press2,5,response2,5,False
2,4,1,0,2,1,13524232514,2333,7,4,0,0,IPI1,85.0,2,press2,3,response2,3,False
2,5,1,0,2,1,35421252143,2333,5,4,1,0,IPI1,140.0,2,press2,5,response2,5,False
2,6,1,0,2,1,51423252413,3332,7,2,0,0,IPI1,200.0,2,press2,1,response2,1,False
2,7,1,0,2,1,13524232514,2333,7,4,0,0,IPI1,60.0,2,press2,3,response2,3,False
2,8,1,0,2,1,14325242135,3332,9,4,1,0,IPI1,310.0,2,press2,4,response2,4,False
2,9,1,0,2,1,14325242135,3332,9,2,0,0,IPI1,170.0,2,press2,4,response2,4,False
2,10,1,0,2,1,13524232514,2333,9,1,0,0,IPI1,350.0,2,press2,3,response2,3,False
2,11,1,0,2,1,51423252413,3332,5,1,0,0,IPI1,385.0,2,press2,1,response2,1,False
2,12,1,0,2,1,51423252413,3332,5,4,0,0,IPI1,115.0,2,press2,1,response2,1,False
2,13,1,0,2,1,13524232514,2333,5,2,0,0,IPI1,45.0,2,press2,3,response2,3,False
2,14,1,0,2,1,14325242135,3332,5,3,1,0,IPI1,95.0,2,press2,4,response2,4,False
2,15,1,0,2,1,14325242135,3332,7,3,0,0,IPI1,80.0,2,press2,4,response2,4,False
2,16,1,0,2,1,35421252143,2333,5,4,0,0,IPI1,115.0,2,press2,5,response2,5,False
2,17,1,0,2,1,13524232514,2333,7,2,0,0,IPI1,70.0,2,press2,3,response2,3,False
2,18,1,0,2,1,14325242135,3332,5,3,0,0,IPI1,315.0,2,press2,4,response2,4,False
